fid_1,bezeichnun,gis_id,elem_nr,datum,bildpfad,pgr_m,pgr_a,zw_pgr_m,zw_pgr_a,aun,twgeb,twrio,twsub,gw,kreuz,spt,ris,efli,afli,obs,ausbr,onf,zw_spt,zw_aun,zw_ris,zw_efli,zw_afli,zw_obs,lqrl,lqrp,eksl,eksp,btef,btep,sff,zw_btef,zw_btep,zw_lqrl,zw_lqrp,zw_eksl,zw_eksp,vnk,nnk,lage,fs,vst,bst,od_fs,zk,material,bauw,ausb
213,Fahrbahn,Fl_20150413_213,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28054\9.jpg,19.34,3.736909091,5,4.74,0,5,2.44,3.08,5,U,18.85628237,1,15,0,0,0,0,3.89,0,1.5,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
217,Fahrbahn,Fl_20150413_217,45510018_45510035.02,2015/4/13,Los1\Bilddaten\28055\12.jpg,1.78,0.738275862,1.22,1.37,0,3.69,2.93,3.12,3.69,Ku,16.88842114,10,0,1,0,0,0,3.69,0,2.79,1,1.5,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
223,Fahrbahn,Fl_20150413_223,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28056\13.jpg,3.46,2.504166667,1.43,3.5,0,3.78,1,1.7,3.78,Ku,17.84568309,0,0,0,0,0,0,3.78,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
221,Fahrbahn,Fl_20150413_221,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28056\23.jpg,2.76,0.994,1.35,1.5,0,3.94,1.58,2.17,3.94,Ku,19.38241981,0,5,0,0,0,0,3.94,0,1,1.83,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
224,Fahrbahn,Fl_20150413_224,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28056\8.jpg,4.72,2.1625,1.68,3.05,0,3.97,1,1.74,3.97,Ku,19.67179287,0,0,0,0,0,0,3.97,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
227,Fahrbahn,Fl_20150413_227,45510017_45510034.02,2015/4/13,Los1\Bilddaten\28057\25.jpg,16.76,6.18047619,4.69,5,0,5,2.85,3.38,5,U,16.21231335,10,0,0,0,0,0,3.62,0,2.79,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1978,Fahrbahn,Fl_20150413_1978,45520013_45520002.02,2015/4/13,Los1\Bilddaten\28058\18.jpg,8.51,2.631007752,2.63,3.63,0,5,2.22,2.91,5,U,30.32258092,5,0,0,0,0,0,5,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1977,Fahrbahn,Fl_20150413_1977,45520013_45520002.02,2015/4/13,Los1\Bilddaten\28058\26.jpg,13.51,3.340891089,3.88,4.34,0,4.34,2.22,2.75,4.34,Ku,18.17314686,5,0,0,0,0,8,3.82,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
519,Fahrbahn,Fl_20150413_519,45520015_45520013.01,2015/4/13,Los1\Bilddaten\28058\57.jpg,13.58,3.637295082,3.9,4.64,0,4.64,2.3,2.89,4.64,U,10.96024343,0,15,0,1,0,0,2.77,0,1,2.67,1,1.5,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1937,Fahrbahn,Fl_20150413_1937,45510028_45520013.01,2015/4/13,Los1\Bilddaten\28059\2.jpg,11.26,4.052580645,3.32,5,0,5,1,2,5,U,12.49054717,0,0,0,0,0,11,3.04,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
